Article;Sous fam.;ref. four.;Gencod;Frais;Qte cde fou;Qte stock;Cpt ac;Cpt ve M;Cpt ve C;Cpt ve OM;Cpt ve E;Cpt ve CEE;Commentaire;id;sup
REACTEUR UV 2 M3/H  1X30W - TALASSA;60158;TALASSA -;1234560000166;;;25,00;60101100;70102000;70192200;70192100;70192100;70192200;GERMIAP30 ECO + LAMPE 30 W;;
REACTEUR UV 6 M3/H  75W 4PINS+CAPI;60158;TALASSA *;1234560000173;;;6,00;60260000;70102000;70192200;70192100;70192100;70192200;;;
REACTEUR UV4 - 12 M3/H TALASSA AVEC CAPI;60158;;1234560000180;;;;60260000;70102000;70192200;70192100;70192100;70192200;GERMIBP55 EP BALLAST ELECTRO A PARTIR DE 2014;;
REACTEUR UV 23 M3/H EP 3X75W;60158;TALASSA**;1234560067107;;;1,00;60101100;70102000;70192200;70192100;70192100;70192200;GERMICP75EP FACADE BLEUE LOGO TALASSA;;
REACTEUR UV1-3 M3/H  1X55W - TALASSA;60158;TALASSA /;1234560000197;;;12,00;60101100;70102000;70192200;70192100;70192100;70192200;1 X 55 W LAMPE NON MONTEE + PHOTO RESISTANCE;;
STATION UVST1  2 M3/H  AP36 E + FILTRES;60159;TALASSA;1234560000203;;;;60260000;70102000;70192200;70192100;70192100;70192200;FILTRES FOURNIS PAR TALASSA /AQUAEVA;;
REACTEUR UV 13 M3/H  EP 2X75W;60158;;1234560067091;;;;60260000;70102000;70192200;70192100;70192100;70192200;GERMIBP75EP FACADE BLEUE + LOGO TALASSA;;
REACTEUR UV8 3X55W ELECTRO CAPTEUR;60158;;;;;;60260000;70102000;70192200;70192100;70192100;70192200;;;
REACTEUR UV 1X95W  10M3/H;60159;TALASSA ***;1234560067084;;;1,00;60260000;70102000;70192200;70192100;70192100;70192200;1 LAMPE 95W - GERMIAP95 FACADE BLEUE + LOGO TALASSA;;
STATION UVST1 - 3 M3/H  AP60 E+FILTRES;60159;TALASSA +;1234560000210;;;3,00;60101100;70102000;70192200;70192100;70192100;70192200;FILTRES FOURNIS PAR TALASSA /AQUAEVA;;
INTERRUPTEUR  SECTIONNEUR P1-25;6077;41097;1234560007509;;;26,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
CONTACTEUR COMMANDE POMPE P1 PKZMO;6077;;1234560055241;;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
CONTACT AUXILIAIRE 31 DILE 4 POLES;6077;48912;1234560009978;;;17,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
PINCE A SERTIR MINIFIT 5556/58;60164;63819-0900;1234560053421;;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
CONTACTEUR DILER 22 230V 50HZ;6077;51777;1234560007790;;;31,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
CONTACTEUR D PUISS 4 KW/400V BOBINE CA;6077;51786;1234560007776;;;31,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
CABLE CY BLINDE 4X0.5;6077;90410050C50;1234560054626;;;;60101100;70102000;70192200;70192100;70192100;70192200;50M;;
BOUCHON DE FERMETURE;6021;;1234560052752;;;;60260000;70102000;70192200;70192100;70192100;70192200;;;
LAMP TESTER LT 1 WITH CIRCUIT AND VOLTAGE INDICATOR ONE POLE;60179;A002653;1234560066100;;;10,00;60260000;70102000;70192200;70192100;70192100;70192200;061 01000 0000;;
4IEME POLE N-P3E;6077;062432;1234560014101;;;;60260000;70102000;70192200;70192100;70192100;70192200;;;
DISJONCTEUR MOTEUR PKZM0-1;6077;072734;1234560049325;;;;60260000;70102000;70192200;70192100;70192100;70192200;;;
DISJONCTEUR MOTEUR PKZMO 6.3A;6077;;1234560039845;;;8,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
CONTACT AUXILIAIRE NHI11-PKZ0;6077;072896;1234560029761;;;;60260000;70102000;70192200;70192100;70192100;70192200;;;
GARDENA 07302-20 PIÈCE EN T TUYAUX 8MM;6021;001194211-62;;0,040;;;60260000;70102000;70192200;70192100;70192100;70192200;;;
2P+T STD F/B AUTO 2M BLANC;6077;LEG077111;1234560052721;;;;60260000;70102000;70192200;70192100;70192100;70192200;;;
MOSAIC HUBLOT ROUGE 230V;6077;;1234560057276;;;;60260000;70102000;70192200;70192100;70192100;70192200;;;
MOSAIC HUBLOT VERT 230V;6077;;1234560057283;;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
PRMOSAIC PLAQUE 2M;6077;LEG078802;1234560052707;;;;60101100;70102000;70192200;70192100;70192100;70192200;PLAQUE DE 2M;;
PRMOSAIC PLAQUE 2X2M HOR;6077;LEG078804;1234560057405;;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
RMOSAIC PLAQUE 2X2M V ENTR 57;6077;LEG078854;1234560052714;;;;60101100;70102000;70192200;70192100;70192100;70192200;PLAQUE DE 2M;;
FILTRE DE RECHANGE;6021;07F25;1234560053650;;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
SUPPPORT BATIBOX 1 POSTE 2M;6077;LEG080251;1234560052691;;;;60101100;70102000;70192200;70192100;70192100;70192200;POSTE DE 2M;;
SUPPORT BATIBOX 2 POSTES/4-5M;6077;LEG080252;1234560057412;;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
INTERRUPTEUR SECTIONNEUR  PI-32/EA/SVB;6077;81438;1234560045303;;;1,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
MULTIFONCTION DMB51CM24;6077;DMB51CM24;8030956000016;1,520;;30,00;60101100;70102000;70192200;70192100;70192100;70192200;P.A. NET 22.10€ PAR 5 PCES SINON 47.35;;
EMBASE FEM.4CONT SERIE692;6021;;1234560009114;0,030;;66,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
CAPOT HARTING SERIE HAN B 10 B;6077;1147964;1234560067039;;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
CAPOT HARTING SERIE HAN B 10 B;6077;1810561;1234560066964;;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
PEIGNE A 16 BROCHES;6077;09316;1234560012800;;;15,00;60101100;70102000;70192200;70192100;70192100;70192200;POUR INTERFACE DE RELAIS SERIE 39;;
INSERT MALE HARTING SERIE HAN EE 18 CONTACTS 16A 10B;6077;2829162;1234560066971;;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
INSERT HARTING SERIE HAN EE 18 CONTACTS 16A 10B;6077;2829207;1234560066988;;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
CONTACTS A SERTIR MALE SERIE HAN 16A 830V;6077;2211808;1234560068487;;;;60260000;70102000;70192200;70192100;70192100;70192200;;;
CONTACTS A SERTIR MALE SERIE HAN 16A 500V;6077;2211779;1234560068463;;;100,00;60101100;70102000;70192200;70192100;70192100;70192200;CAODE ACHAT PAR 100 1903365 PRIX 0.292 EUROS;;
CONTACTS A SERTIR MALE SERIE HAN 16A 830V;6077;;1234560067046;;;100,00;60101100;70102000;70192200;70192100;70192100;70192200;par 50 : ref 7417764;;
CONTACTS A SERTIR MALE SERIE HAN 16A 830V;6077;7417789;1234560068449;;;100,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
CONTACTS A SERTIR FEMELLE SERIE HAN 16A 830V;6077;2211814;1234560068494;;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
CONTACTS A SERTIR FEMELLE SERIE HAN 16A 830V;6077;2211791;1234560068470;;;100,00;60101100;70102000;70192200;70192100;70192100;70192200;CODE ACHATS PAR 100 1737350 AU PRIX 0.434 UNITAIRE;;
CONTACTS A SERTIR FEMELLE SERIE HAN 16A 830V;6077;;1234560067053;;;100,00;60101100;70102000;70192200;70192100;70192100;70192200;par 50 ref : 7417799;;
CONTACTS A SERTIR FEMELLE SERIE HAN 16A 830V;6077;7417824;1234560068456;;;100,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
EMBASE MÂLE 7 CTS À SOUDER IP67 PUSH PULL;6077;0948271507;1234560068029;3,000;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
CHARNIERE 50X76XM6;6021;099126E;1234560032983;;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
CAISSE BOIS DIM EXT 107*107*213 2 ENTREES;0203;;1234560039593;;;;60260000;70102000;70192200;70192100;70192100;70192200;DIM INT 100*100*190 - 2 ENTREES -  CHEVRONS DE CALAGE 6 LONGUEURS;;
CAISSE BOIS ET CTP 100X110X210;0203;;1234560022687;;;;60120300;70102000;70192200;70192100;70192100;70192200;;;
FEUILLET ABSORBANT X100;60164;10011315;;;;1,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
PALETTES BOIS TRAITÉ SELON NORME NIMP15 100X120;0203;;1234560062621;;;;60101100;70102000;70192200;70192100;70192100;70192200;Pour la fourniture de 3 palettes bois (bois traité selon norme NIMP15), 4 entrées, capable de 200 kgs.;;
CABLE DE COMMANDE EXTERNE L 2M;6077;;1234560021161;7,170;;;60101100;70102000;70192200;70192100;70192100;70192200;12/2003 GAEC DES 2 PUY;;
CONNECTEUR DE COMMANDE EXTERIEURE POUR POMPE;6077;;1234560037544;7,000;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
CONNECTEUR DE COMMANDE EXTÉRIEURE POUR POMPE;6077;1001302;1234560037537;7,000;;;60260000;70102000;70192200;70192100;70192100;70192200;;;
CAISSE AME BOIS 100*27*40;0203;;1234560022120;;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
CAISSE BOIS 100X60X120 DD600NA  ARMOIRE;0203;DD600NA  ARMOIRE;1234560063307;;;;60101100;70102000;70192200;70192100;70192100;70192200;DD600NA armoire.;;
COFFRET NU AE 380X380X210+PLAQ;60181;1006600;1234560026852;;;12,00;60101100;70102000;70192200;70192100;70192100;70192200;PROCHAINE COMMANDE 187.14 EUROS;;
CAISSE BOIS 100X70X200;0203;LD600NA  ARMOIRE;1234560070282;;;;60101100;70102000;70192200;70192100;70192100;70192200;1 caisse bois (bois traité selon norme NIMP15) et OSB, plateaux renforcés, patins de manutention, attestation de traitement du bois,;;
COFFRET NU AE INOX 380X600X210+PLAQUE;60181;1008600;1234560039708;;;1,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
COFFRET INOX 316L 600X600X210;60181;;1234560054831;;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
COFFRET NU AE INOX 600X600X210+PLAQUE;60181;;1234560061983;;;3,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
COFFRET INOX 400X500X210 + PLAQUE;60181;;1234560053438;;;;60260000;70102000;70192200;70192100;70192100;70192200;;;
ELECTROPOMPE DE SURFACE CA120/33 TRIPHASE INOX 316;6021;101810114;;;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
CABLE RJ45 0.25 METRES;6077;;1234560073047;;;36,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
CÂBLE DE RACCORDEMENT RÉSEAU RJ45 1.5M;6077;;1234560073764;;;40,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
CÂBLE DE RACCORDEMENT RÉSEAU RJ45 2 MÈTRES;6077;;;;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
BANDE MOUSSE APENFIX EP.2X9MM;60164;1020263209;1234560038619;0,290;;140,00;60101100;70102000;70192200;70192100;70192100;70192200;unité prix par 100M : 109.60;;
BANDE MOUSSE APENFIX EP.2X40MM LE M;6021;1020263240;1234560038626;0,290;;119,00;60260000;70102000;70192200;70192100;70192100;70192200;;;
TUBE SANS SOUDURE 31.75X2.11 LE M;6021;;1234560043996;4,500;;3,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
PROFIL PLAT EN ÉLAST. MOUSSE EPDM, GR 5 X 30 MM DIN ISO 3302;60164;;;3,940;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
PLAQUE QUARTZ PROFIL NOIR 10X6MM;60164;1025028605;1234560038602;0,290;;;60260000;70102000;70192200;70192100;70192100;70192200;unité prix par 100M : 388.80;;
PROFIL U ANGLE VIFS NOIR EPDM 15X5MM;6021;1025048701;1234560039074;;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
PROFIL U BASE ARRONDIE DIN 15X3MM;6021;1025048731;1234560039050;0,014;;80,20;60101100;70102000;70192200;70192100;70192100;70192200;VENDU PAR BOBINE DE 100M;;
PROFIL U BASE ARRONDIE DIN 20X7MM;6021;;1234560039067;;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
PROFIL DE SERRAGE AVEC ÈVRE 33.00 X 9.50 MM/0.50 - 2.00 MM;6021;10.2508.8972;;0,420;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
CAISSE BOIS 102.5X26.2X20;0203;;;;;;60101100;70102000;70192200;70192100;70192100;70192200;Pour la fourniture d’un caisson OSB, fermeture du couvercle par 2 charnières et 2 grenouillères, 2 poignées de manutention en bout, calage;;
JOINT CORDE RONDE NBR NOIR 6MM / 1 METRE;6021;1026030606;1234560064380;0,025;;89,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
PLATINE D'ESSAI, RS PRO, DIMENSIONS DE 80 X 60 X 10MM;60179;;;;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
"JOINT DE RACCORD 22X30X2 G 3/4""";6021;1030412205;1234560066834;0,023;;;60101100;70102000;70192200;70192100;70192100;70192200;Matériau:liant NBR combiné à des fibres aramide;;
COFFRET NU 300X300X210+PLAQ;60181;1033500;1234560027163;;;3,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
TRIPOLAIRE 5656A9SW3P;6077;1035546;1234560007950;;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
SECTIONNEURS À FUSIBLE P3-63 3P + N, 63 A, 37 KW, IP65;6077;;1234560060719;;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
COFFRET NU AE 380X600X210+PLAQUE;60181;1038500;1234560010523;;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
RHODAMINE B, 98+%, PURE POUDRE 10GR;6015;;1234560060962;15,500;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
POMPES 5HM05NO7T5RQQV-ELP-3PH-230/400V;6021;104604584XWA;1234560031740;;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
REGLET 30MMX0.5MMINOX CHROME MAT;0202;;;;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
COFFRET NU AE 500X500X210 +  PLAQUE;60181;1050500;1234560010530;;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
COFFRET NU AE 600X600X250 +PLAQUE;60181;1054500;1234560010561;;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
ARMOIRE ELECTRIQUE 500X700X250+PLAQUE;60181;1057500;1234560010547;;;4,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
ENTRETOISE FEMELLE / FEMELLE M3X10MM;6021;;;;;;60101100;70102000;70192200;70192100;70192100;70192200;sachet de 50 pièces;;
ENTRETOISE FEMELLE / FEMELLE M3X12MM;6021;1057984;1234560070640;;;500,00;60101100;70102000;70192200;70192100;70192100;70192200;sachet de 50 pièces;;
ENTRETOISE INTERNE/EXTERNE M3X25MM;6021;;1234560036202;;;;60101100;70102000;70192200;70192100;70192100;70192200;sachet de 50 pièces;;
COFFRET NU AE 600X800X250 + PLAQUE;60181;1058500;1234560027033;;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
SULFATE DE CUIVRE 25KG;6015;;1234560258109;;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
AUXILIERE DE CONTACTEUR DILM 32-XHI31;6077;106112;1234560029952;;;15,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
EASY800-USB-CAB CÂBLE DE LIAIS;6077;106408;;;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
ANEMOMETRE 25M/S;6077;;1234560052387;;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
VERROUILLAGE DE SECURITE;6077;106830;1234560007783;;;2,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
SODIUM THIOSULFATE PENTAHYDRATE;6015;0485W;;45,000;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
COFFRET NU AE 600X760X210 + PLAQUE;60181;1076500;1234560010554;;;1,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
CAISSE BOIS DIM EXT 107*67*142;0203;;1234560022540;;;;60101100;70102000;70192200;70192100;70192100;70192200;DIM INT 100*60*120 - 2 ENTREES - 2 PATINS MANUTENTIONS;;
CAISSE BOIS 100X60X160 INT;0203;DP300 ARMOIRE;1234560022144;;;-2,00;60101100;70102000;70192200;70192100;70192100;70192200;DIM EXT 107X67X180 POIDS 90 KG;;
COFFRET ELECTRIQUE 760X760X210+PLAQUE;60181;1077500;1234560010578;;;11,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
CAISSE BOIS 107*77*187 EXT;0203;;1234560022151;;;;60101100;70102000;70192200;70192100;70192100;70192200;DIM INT 100*70*180 100 KG - 2 CHEVRONS LG - 4 CHEVRONS LARGEUR;;
CORDON DE MESURE VOLTCRAFT ROUGE 1 M;6077;;;;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
CORDON DE MESURE VOLTCRAFT NOIR 1 M;6077;;;;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
COFFRET INOX 316L 600X1000X250;60181;AX1090.000;1234560070916;;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
"COUDE 90°MXF LAITON 3/4""";6021;109205;1234560000821;1,000;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
ETIRABLE MANUEL 23U 450X300M NOIR;0203;109319;1234560042098;;;18,00;60101100;70102000;70192200;70192100;70192100;70192200;LE ROULEAU;;
KIT MURAL POUR HYDROVAR 10073LDAA;6021;;;;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
CAISSE BOIS DIM EXT 117*117*17;0203;;1234560044115;;;;60101100;70102000;70192200;70192100;70192100;70192200;DIM INT 110*110*150 - 2 ENTREES -;;
EASY500 POW ALIM 230VAC/24VDC 2,5A 1PH;6077;110941;1234560007721;;;12,00;60101100;70102000;70192200;70192100;70192100;70192200;N'EST PLUS COMMERCIALISE;;
DEGOUDRONNANT 180ML;6015;;1234560000258;;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
LIMITEUR DE DEBIT 4M3/H;6021;;1234560065837;0,670;;20,00;60101100;70102000;70192200;70192100;70192100;70192200;FOURNISSEUR BERTFELT;;
DISJONCTEUR DIFF BIP 20A 30MA;6077;111626;1234560058242;;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
COFFRET METAL  400X400X200 CS-44/200;60181;111684;1234560010479;;;13,00;60101100;70102000;70192200;70192100;70192100;70192200;REF RITTAL AE1380;;
COFFRET METAL 600X400X200 CS64200;60181;111693;1234560010486;;;8,00;60101100;70102000;70192200;70192100;70192100;70192200;REF RITTAL AE1038;;
COFFRET METAL 600X600X250 CS-66/250;60181;111699;1234560010509;;;21,00;60101100;70102000;70192200;70192100;70192100;70192200;REF RITTAL AE1056;;
COFFRET METAL 700X500X250 CS-75/250;60181;111703;1234560010493;;;15,00;60101100;70102000;70192200;70192100;70192100;70192200;REF RITTAL AE1057;;
JOINT TORIQUE 24X2 NBR70;6021;;1234560035731;0,100;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
JOINT TORIQUE 55X2 NBR70;6021;1120030866;1234560064748;0,118;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
JOINT TORIQUE 12X2.5;6021;1120031122;1234560033355;0,120;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
JOINT TORIQUE 20.24X2.62 NBR70.11;6021;;1234560033157;;;8,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
JOINT TORIQUE 20.63X2.62 NBR7011;6021;1120031506;1234560033140;;;4,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
JOINT TORIQUE 25X3 NBR;6021;;;0,580;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
JOINT TORIQUE 44X3.5 NBR;6021;;1234560034024;;;33,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
JOINT TORIQUE 69.44X3.53;6021;1120033338;1234560002368;0,010;;55,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
JOINT TORIQUE 34X4 NBR;6021;;1234560034017;;;29,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
JOINT TORIQUE 40X4;6021;1120033704;1234560002399;0,120;;5,00;60101100;70102000;70192200;70192100;70192100;70192200;Pour lampes 115W;;
JOINT TORIQUE NBR 70.00-01 DI 32.00 X 5.00 MM;6021;1120034942;1234560065684;0,392;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
JOINT TORIQUE 82X5;6021;1120035042;1234560002566;0,020;;78,00;60101100;70102000;70192200;70192100;70192100;70192200;POUR SPA;;
JOINT TORIQUE 395X5;6021;1120035668;1234560042746;0,020;;9,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
